variable,field,Y2000,Y2010,district
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.8188710455579296,2.7785217146919274,18
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",62190,63497,18
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",58036,60489,18
Housing Units,"Renter occupied_Male householder, no wife present",46239,47816,18
Housing Units,"Owner occupied_Male householder, no wife present",11797,12673,18
Housing Units,Owner occupied_1  person household,14535,16702,18
Housing Units,Owner occupied_2  person household,14528,14955,18
Housing Units,Owner occupied_3  person household,11650,11144,18
Housing Units,Owner occupied_4  person household,8719,8536,18
Housing Units,Owner occupied_5 persons and over,8604,9152,18
Housing Units,Householder Age - Owner occupied_15 to 24 years,2832,1884,18
Housing Units,Householder Age - Owner occupied_25 to 44 years,25074,22618,18
Housing Units,Householder Age - Owner occupied_45 to 64 years,20258,24562,18
Housing Units,Householder Age - Owner occupied_65 years and over,9872,11425,18
Population,White Nonhispanic,102731,82943,19
Population,Black Nonhispanic,2217,2514,19
Population,Asian and Pacific Islander Nonhispanic,28644,43511,19
Population,Other Nonhispanic,420,517,19
Population,Two or More Races Nonhispanic,3005,2068,19
Population,Hispanic Origin,17858,23684,19
Population,Female,81051,81099,19
Population,Male,73824,74138,19
Population,Under 5 years,8323,7883,19
Population,5 to 9 years,8398,7680,19
Population,10 to 14 years,8356,8097,19
Population,15 to 19 years,7912,8406,19
Population,20 to 24 years,8288,8459,19
Population,25 to 44 years,47271,41332,19
Population,45 to 64 years,39098,45253,19
Population,65 years and over,27229,28127,19
Population,18 years and over,124848,126252,19
Population,In households,153174,153774,19
Population,In households_In family households,131963,133003,19
Population,In households_In family households_Householder,41321,40940,19
Population,In households_In family households_Spouse,33115,31909,19
Population,In households_In family households_Own child under 18 years,27770,26400,19
Population,In households_In family households_Other relatives,27644,31080,19
Population,In households_In family households_Nonrelatives,2113,2674,19
Population,In households_In nonfamily households,21211,20771,19
Population,In households_In nonfamily households_Householder,18283,17774,19
Population,In households_In nonfamily households_Householder 65 years and over living alone,6630,6677,19
Population,In households_In nonfamily households_Nonrelatives,2928,2997,19
Population,In group quarters_In nonfamily households,1701,1463,19
Households,In group quarters_In nonfamily households,59604,58714,19
Households,Family households_In nonfamily households,41321,40940,19
Households,Family households_Married-couple family,33115,31909,19
Households,Family households_Married-couple family_With related children under 18 years,14066,13377,19
Households,"Family households_Female householder, no husband present",5989,6337,19
Households,"Family households_Female householder, no husband present_With related children under 18 years",2500,2681,19
Households,"Family households_Male householder, no wife present",2217,2694,19
Households,"Family households_Male householder, no wife present_With related children under 18 years",737,970,19
Households,"Nonfamily households_Male householder, no wife present",18283,17774,19
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",19223,19966,19
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.142469930543791,3.1834147532975083,19
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.569861083148782,2.619034642504343,19
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",61736,61951,19
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",59604,58714,19
Housing Units,"Renter occupied_Male householder, no wife present",21471,20569,19
Housing Units,"Owner occupied_Male householder, no wife present",38133,38145,19
Housing Units,Owner occupied_1  person household,15897,15379,19
Housing Units,Owner occupied_2  person household,18482,17579,19
Housing Units,Owner occupied_3  person household,10052,10318,19
Housing Units,Owner occupied_4  person household,9154,9052,19
Housing Units,Owner occupied_5 persons and over,6019,6386,19
Housing Units,Householder Age - Owner occupied_15 to 24 years,916,809,19
Housing Units,Householder Age - Owner occupied_25 to 44 years,20915,17061,19
Housing Units,Householder Age - Owner occupied_45 to 64 years,21447,24208,19
Housing Units,Householder Age - Owner occupied_65 years and over,16326,16636,19
Population,White Nonhispanic,87387,90755,2
Population,Black Nonhispanic,11225,10366,2
Population,Asian and Pacific Islander Nonhispanic,17592,23754,2
Population,Other Nonhispanic,863,771,2
Population,Two or More Races Nonhispanic,3303,3446,2
Population,Hispanic Origin,33874,32462,2
Population,Female,81430,86958,2
Population,Male,72814,74596,2
Population,Under 5 years,5061,4987,2
Population,5 to 9 years,4774,4072,2
Population,10 to 14 years,5007,4031,2
Population,15 to 19 years,8318,10154,2
Population,20 to 24 years,16838,21670,2
Population,25 to 44 years,65579,62977,2
Population,45 to 64 years,32416,34543,2
Population,65 years and over,16251,19120,2
Population,18 years and over,136377,145773,2
Population,In households,145324,148228,2
Population,In households_In family households,73048,71472,2
Population,In households_In family households_Householder,25383,25296,2
Population,In households_In family households_Spouse,15913,15881,2
Population,In households_In family households_Own child under 18 years,14370,12951,2
Population,In households_In family households_Other relatives,15646,15897,2
Population,In households_In family households_Nonrelatives,1736,1447,2
Population,In households_In nonfamily households,72276,76756,2
Population,In households_In nonfamily households_Householder,56493,57639,2
Population,In households_In nonfamily households_Householder 65 years and over living alone,7838,8866,2
Population,In households_In nonfamily households_Nonrelatives,15783,19117,2
Population,In group quarters_In nonfamily households,8920,13326,2
Households,In group quarters_In nonfamily households,81876,82935,2
Households,Family households_In nonfamily households,25383,25296,2
Households,Family households_Married-couple family,15913,15881,2
Households,Family households_Married-couple family_With related children under 18 years,5329,5146,2
Households,"Family households_Female householder, no husband present",7609,7456,2
Households,"Family households_Female householder, no husband present_With related children under 18 years",4294,3764,2
Households,"Family households_Male householder, no wife present",1861,1959,2
Households,"Family households_Male householder, no wife present_With related children under 18 years",631,652,2
Households,"Nonfamily households_Male householder, no wife present",56493,57639,2
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",13570,15760,2
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",2.809439388567151,2.7682242251739404,2
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",1.7749279398114222,1.7872791945499489,2
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",86262,88955,2
